ADM3_ES,ADM3_PCODE,ADM2_ES,ADM2_PCODE,ADM1_ES,SSP1_2030_population,SSP1_2050_population,SSP2_2030_population,SSP2_2050_population,SSP3_2030_population,SSP3_2050_population
Santiago,PE110111,Ica,PE1101,Ica,26004.01563,24294,27005.900390625,26535.59375,29416.11328,31661.849609375
Santiago de Anchucaya,PE150729,Huarochiri,PE1507,Lima,388.982666015625,378.7578125,394.74981689453125,392.2124328613281,424.1136474609375,424.8138427734375
Santiago de Cao,PE130207,Ascope,PE1302,La Libertad,17856.40625,15868.7626953125,18730.47656,18040.00781,20256.5625,21395.51563
Santiago de Challas,PE130811,Pataz,PE1308,La Libertad,2616.8720703125,2909.47119140625,2711.33154296875,2994.035156,2907.14013671875,3472.14501953125
Santiago de Chilcas,PE021410,Ocros,PE0214,Ancash,402.1239929199219,413.5763244628906,414.4425354003906,442.45086669921875,474.55889892578125,616.4520874023438
Santiago de Chocorvos,PE090613,Huaytara,PE0906,Huancavelica,1994.850341796875,1902.2813720703125,2037.302978515625,2010.41943359375,2151.395751953125,2164.66259765625
Santiago de Chuco,PE131001,Santiago de Chuco,PE1310,La Libertad,18199.833984375,16676.38281,18693.77734,18586.462890625,20102.42578,22812.50391
Santiago de Lucanamarca,PE050304,Huanca Sancos,PE0503,Ayacucho,2027.2655029296875,1905.6783447265625,2074.003173828125,2039.504638671875,2172.8818359375,2200.53564453125
Santiago de Paucaray,PE050910,Sucre,PE0509,Ayacucho,715.76318359375,670.0446166992188,753.6946411132812,743.0001831054688,804.3211669921875,840.1873779296875
Santiago de Pischa,PE050111,Huamanga,PE0501,Ayacucho,1838.90673828125,1802.921142578125,1928.9927978515625,2053.606689453125,2081.3330078125,2498.849365234375
Santiago de Pupuja,PE210214,Azangaro,PE2102,Puno,4626.6162109375,4336.1826171875,4740.57861328125,4599.021484,5066.00927734375,5316.78125
Santiago de Quirahuara,PE090614,Huaytara,PE0906,Huancavelica,541.421875,511.23809814453125,554.0819091796875,545.5718994140625,584.7910156,589.0751953
Santiago de Surco,PE150140,Lima,PE1501,Lima,410993.5,388298.9375,426275.2188,421439.75,459220.7188,471921
Santiago de Tucuma,PE090723,Tayacaja,PE0907,Huancavelica,876.963134765625,771.1033325195312,913.0267944335938,828.49365234375,985.5504150390625,959.13525390625
Santiago de Tuna,PE150730,Huarochiri,PE1507,Lima,648.3045043945312,613.14599609375,670.4481201171875,653.099853515625,713.7066650390625,711.7991943359375
Santillana,PE050406,Huanta,PE0504,Ayacucho,3308.10498046875,3086.960938,3387.150146484375,3312.2119140625,3590.01904296875,3615.637939453125
Santo Domingo,PE200409,Morropon,PE2004,Piura,9707.9208984375,10016.701171875,10107.744140625,10689.3310546875,11230.603515625,13466.599609375
Santo Domingo de Acobamba,PE120135,Huancayo,PE1201,Junin,6223.722656,5789.2197265625,6376.865234,6214.583984,6704.544922,6764.92431640625
Santo Domingo de Anda,PE100610,Leoncio Prado,PE1006,Huanuco,3923.993896484375,4005.830810546875,4038.801025390625,4099.28125,4355.105469,4590.82177734375
Santo Domingo de Capillas,PE090615,Huaytara,PE0906,Huancavelica,752.558837890625,720.1493530273438,772.4923095703125,755.3394165039062,824.8729858398438,821.3067626953125
Santo Domingo de la Capilla,PE060612,Cutervo,PE0606,Cajamarca,5440.5009765625,5253.353516,5672.40283203125,5580.8740234375,6115.08349609375,6440.17822265625
Santo Domingo de los Olleros,PE150731,Huarochiri,PE1507,Lima,4211.3505859375,3897.129150390625,4321.660156,4217.38525390625,4656.8427734375,4738.089844
Santo Tomas,PE010521,Luya,PE0105,Amazonas,3758.41357421875,3945.535156,3943.917969,4223.55517578125,4195.3623046875,4780.57177734375
Santo Tomas,PE060613,Cutervo,PE0606,Cajamarca,8441.974609,8528.84375,8672.859375,8972.410156,9404.298828,10071.8642578125
Santo Tomas,PE080701,Chumbivilcas,PE0807,Cusco,24226.435546875,23174.712890625,25033.94141,25521.130859375,27000.345703125,31610.87109
Santo Tomas de Pata,PE090311,Angaraes,PE0903,Huancavelica,2932.263427734375,2825.3974609375,3051.47900390625,3051.324462890625,3263.993408203125,3492.914063
Santo Toribio,PE021209,Huaylas,PE0212,Ancash,797.2391967773438,743.927978515625,833.3607788085938,787.0689697265625,914.553466796875,1028.049560546875
Sapallanga,PE120133,Huancayo,PE1201,Junin,15869.44141,16443.693359375,16507.88281,18689.583984375,18512.46875,27586.46875
Sapillica,PE200208,Ayabaca,PE2002,Piura,17690.82813,17425.40625,18346.46875,18973.38672,19495.21484,21336.98438
Saposoa,PE220401,Huallaga,PE2204,San Martin,13378.7255859375,13733.7919921875,13895.01563,14685.4912109375,15110.216796875,17341.845703125
Saquena,PE160507,Requena,PE1605,Loreto,4277.93310546875,4099.246094,4370.8916015625,4324.0322265625,4888.5166015625,4834.38232421875
Sara Sara,PE050810,Paucar del Sara Sara,PE0508,Ayacucho,1150.30224609375,1267.0552978515625,1177.0885009765625,1526.5435791015625,1248.9866943359375,1759.67333984375
Sarayacu,PE160605,Ucayali,PE1606,Loreto,9523.943359,9167.466797,9733.582031,9593.7802734375,10267.4736328125,10384.33984
Sarhua,PE051011,Victor Fajardo,PE0510,Ayacucho,2446.035156,2260.65771484375,2508.13818359375,2435.242431640625,2643.703857421875,2647.0625
Sarin,PE130907,Sanchez Carrion,PE1309,La Libertad,8403.4267578125,8122.912109,8752.525391,8596.943359,9263.240234,9589.464844
Sartimbamba,PE130908,Sanchez Carrion,PE1309,La Libertad,14231.1591796875,15240.330078125,14902.029296875,16689.740234375,16291.9423828125,20234.35547
Satipo,PE120601,Satipo,PE1206,Junin,46989.8125,44256.06641,49130.6875,48994.82031,52754.50391,59086.89063
Sauce,PE220913,San Martin,PE2209,San Martin,22116.818359375,23513.55469,23272.337890625,25284.92188,25581.33984,31236.08984
Saucepampa,PE061308,Santa Cruz,PE0613,Cajamarca,1637.40673828125,1374.90771484375,1714.1630859375,1530.069091796875,1882.3544921875,1873.901123046875
Saurama,PE051107,Vilcas Huaman,PE0511,Ayacucho,1225.6458740234375,1111.6456298828125,1261.230224609375,1220.7060546875,1351.745361328125,1359.404297
Sausa,PE120430,Jauja,PE1204,Junin,4220.98779296875,4207.09912109375,4639.429688,5036.18408203125,5081.89013671875,9583.800781
